Company Name,"Location 
(Headquarters)",Type of Document,Page title,Main Topic,URL Address,"Connection With
 Other Companies",Associated Topics,"Reference to
Technology/Data",Comments,City (IP Address),Country (IP Add),Lat,Long,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Anglo America,"London, UK",Web Page,Our Purpose and Values,Re-imagining mining to imporve people's lives,https://www.angloamerican.com/about-us/our-purpose,NA,"Eco-friendly mining, Essential products for apliances, Sustainability, Inovation, decarbonisation
",Increasingly using automated and remote technologies,There are several mentions of families and community,#UNKNOWN!,Ireland,53.3379,-6.2591,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Anglo America,"London, UK",Web Page,At a Glance,Ethical and sustainable approach to mining that is still profitable,https://www.angloamerican.com/about-us/at-a-glance,Mentions bussiness partners but does not identifies them,"Responsible production of minerals, Benefiting communities ",NA,"*Continual use of phrase ""re-imagining mining to improve people's lives""",#UNKNOWN!,Ireland,53.3379,-6.2591,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Anglo America,"London, UK",Web Page,Our Strategy,Strategies that are used to achive ethical mining,https://www.angloamerican.com/about-us/our-strategy,NA,"Reputation building, Operational excellence, Matching major trends",Deploing appropiate technologies(?),*Big enfasis in sustainability,#UNKNOWN!,Ireland,53.3379,-6.2591,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Anglo America,"London, UK",Web Page,What We Do,Describes the mining process from location of deposits to arriving at the markets,https://www.angloamerican.com/about-us/what-we-do,NA,"Mining in safe and sustainable ways, proceses of mining, distribution to the market","*Technology is expanding the search
*Using leading technologies
*Using remote sensing tools to find minerals",Very process focused,#UNKNOWN!,Ireland,53.3379,-6.2591,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Anglo Gold Ashanti,"Denver, Colorado, USA",Web Page,"Vision, Purpose, Values",Describes the values the company follows,https://www.anglogoldashanti.com/company/vision-purpose-values/,NA,"Mining to empower people, safety, respect, sustainability, excellence, integrity, collabotarion, leading company",NA,Very breif. About ten sentences long,#UNKNOWN!,US,37.751,-97.822,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Anglo Gold Ashanti,"Denver, Colorado, USA",Web Page,The Company,"Briefle describes company history, management and values",https://www.anglogoldashanti.com/company/,NA,"Value creating opportunities, 
strategies",NA,Focused on the development and growth of the company. Did not show a lot of concerns for sustainability and ethics,#UNKNOWN!,US,37.751,-97.822,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BHP Group,"Melbourne, Australia",Web Page,About Us,"Outline valuse, strategy and charter of the company",https://www.bhp.com/about,NA,"Energy transition, renewable energy, sustainable farming, excelent opperations, sustainability, progress, accountability
",NA,Mentioned that the charter of the company is their most important document,#UNKNOWN!,Australia,-37.81684,144.98977,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BHP Group,"Melbourne, Australia",Web Page,Why Our Work Matters,Describes the mission of the company and the steps they are taking toward sustainability ,https://www.bhp.com/about/why-our-work-matters,NA,"decarbonisation, sustainable development, ethics and responsibility, community, building blocks of the modern world, climate change",NA,There is an enfasis on building a better future,#UNKNOWN!,Australia,-37.81684,144.98977,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Southern Copper,"Phoenix, Arizona, USA",Web Page,About SCC,Talks about the owneship and acquisitions of the company,https://southerncoppercorp.com/eng/about-scc/,"Grupo Mexico, SPCC Peru Branch, Minera Mexico",NA,NA,"Did not outline any values, missions, strategies, purpose or anything.",#UNKNOWN!,US,32.8608,-79.9746,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Southern Copper,"Phoenix, Arizona, USA",Web Page,Our Commitment,Describes the values and ethical pronciples of the company,https://southerncoppercorp.com/eng/our-commitment/,NA,"sustainability, possitive change in the economy, well being and safety, community, conserving and renexing the enviroment",NA,The page shows a lot of percentages and numbers related to their actions in sustainability,#UNKNOWN!,US,32.8608,-79.9746,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
